dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,53,Autism__53__seg27,long_gap,low,0,Hybrid-P,1.5605326100717145,7.643055408387401,0.9282178217821784,0.0,,0.8861209196991993,0.9116719242902208,,,1.0,1.0,0.93259761466314
Autism,53,Autism__53__seg27,long_gap,low,0,STRATUS-H,1.3566218615876835,7.978113957422931,0.9282178217821784,0.0,,0.8732009550523504,0.9621451104100948,,,1.0,1.0,0.9451153551541482
Autism,53,Autism__53__seg27,jitter,low,0,Pointwise-D,0.5906953510591022,6.611971350739921,1.0,,,0.9438814780388474,1.0,-0.1350916888013424,0.0,1.0,,0.6479604926796158
Autism,53,Autism__53__seg27,jitter,low,0,STRATUS-D,0.0696892799520793,0.6512592422194324,1.0,,,1.0,1.0,0.0,0.0,1.0,,0.6666666666666666
Autism,53,Autism__53__seg27,jitter,low,0,Hybrid-P,1.5872243576778744,7.505104755607516,1.0,,,0.8861209196991993,0.9176470588235294,-0.9904091078632484,0.0,1.0,,0.6012559928409096
Autism,53,Autism__53__seg27,jitter,low,0,STRATUS-H,1.3289298692970828,7.713979749365479,1.0,,,0.8732009550523504,0.9647058823529412,0.0,0.0,1.0,,0.6126356124684306
Autism,53,Autism__53__seg27,spike,low,0,Pointwise-D,0.4514908101342137,6.304268043169144,1.0,,,0.9625212889714084,1.0,0.994004614089536,0.994004614089536,1.0,,0.985508634353648
Autism,53,Autism__53__seg27,spike,low,0,STRATUS-D,0.0339325628049657,0.3449561597916687,1.0,,,1.0,1.0,0.994004614089536,0.994004614089536,1.0,,0.9980015380298454
Autism,53,Autism__53__seg27,spike,low,0,Hybrid-P,1.550634517685373,7.552048115266277,1.0,,,0.8871415690214246,0.9233038348082596,0.994004614089536,0.994004614089536,1.0,,0.93481667263974
Autism,53,Autism__53__seg27,spike,low,0,STRATUS-H,1.1806577549662511,7.56201207049629,1.0,,,0.8976887599069112,0.9734513274336284,0.994004614089536,0.994004614089536,1.0,,0.9550482338100252
Autism,53,Autism__53__seg27,mixed,low,0,Pointwise-D,2.249253989709364,18.476953888292503,0.905940594059406,0.0,1.0,1.0,1.0,0.8757384294123676,0.8757384294123676,1.0,1.0,0.9751476858824736
Autism,53,Autism__53__seg27,mixed,low,0,STRATUS-D,3.912271731500144,30.831828312044557,0.905940594059406,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8
Autism,53,Autism__53__seg27,mixed,low,0,Hybrid-P,3.819581455674432,20.063565113031,0.905940594059406,0.0,1.0,0.8850327263626349,0.9233333333333332,0.8575027223900114,0.8575027223900114,1.0,1.0,0.933173756417196
Autism,53,Autism__53__seg27,mixed,low,0,STRATUS-H,3.8410977803615314,20.295759018931307,0.905940594059406,0.0,1.0,0.8439517663943752,0.9533333333333334,0.857519116119387,0.857519116119387,1.0,1.0,0.9309608431694192
Autism,53,Autism__53__seg27,short_gap,medium,0,Pointwise-D,2.243670442001393,14.687230700595366,1.0,,1.0,0.9585608842735064,1.0,,,1.0,,0.986186961424502
Autism,53,Autism__53__seg27,short_gap,medium,0,STRATUS-D,1.8261121946721453,13.26988865230472,1.0,,1.0,1.0,1.0,,,1.0,,1.0
Autism,53,Autism__53__seg27,short_gap,medium,0,Hybrid-P,3.2938533290099903,15.180986162362531,1.0,,1.0,0.8861209196991993,0.913946587537092,,,1.0,,0.9333558357454304
Autism,53,Autism__53__seg27,short_gap,medium,0,STRATUS-H,3.0853527840171484,15.335295556904342,1.0,,1.0,0.8732009550523504,0.9643916913946587,,,1.0,,0.9458642154823363
Autism,53,Autism__53__seg27,long_gap,medium,0,Pointwise-D,0.4765354009068254,6.724695092411544,0.8762376237623762,0.0,,0.9554366495805484,1.0,,,1.0,1.0,0.9851455498601828
Autism,53,Autism__53__seg27,long_gap,medium,0,STRATUS-D,0.0,0.0,0.8762376237623762,0.0,,1.0,1.0,,,1.0,1.0,1.0
Autism,53,Autism__53__seg27,long_gap,medium,0,Hybrid-P,1.6531065784657992,7.866490288925717,0.8762376237623762,0.0,,0.8775351917646032,0.9066666666666666,,,1.0,1.0,0.9280672861437568
Autism,53,Autism__53__seg27,long_gap,medium,0,STRATUS-H,1.43709942964797,8.211343843083798,0.8762376237623762,0.0,,0.8636411474089136,0.96,,,1.0,1.0,0.9412137158029712
Autism,53,Autism__53__seg27,jitter,medium,0,Pointwise-D,0.6444943891461088,6.683284679527047,1.0,,,0.9438814780388474,1.0,-0.1218094734272439,0.0,1.0,,0.6479604926796158
Autism,53,Autism__53__seg27,jitter,medium,0,STRATUS-D,0.1184717759185346,1.107140711773033,1.0,,,1.0,1.0,0.0,0.0,1.0,,0.6666666666666666
Autism,53,Autism__53__seg27,jitter,medium,0,Hybrid-P,1.627378385213291,7.548824339364988,1.0,,,0.8861209196991993,0.9176470588235294,-0.5097621664375194,0.0,1.0,,0.6012559928409096
Autism,53,Autism__53__seg27,jitter,medium,0,STRATUS-H,1.377712365263538,7.765764967387938,1.0,,,0.8732009550523504,0.9647058823529412,0.0,0.0,1.0,,0.6126356124684306
Autism,53,Autism__53__seg27,spike,medium,0,Pointwise-D,1.8356505533385152,20.853096083528143,1.0,,,1.0,0.9970326409495548,0.6768457285388356,0.6768457285388356,1.0,,0.8912927898294635
Autism,53,Autism__53__seg27,spike,medium,0,STRATUS-D,5.649333304067285,50.8826408123085,1.0,,,1.0,0.9970326409495548,0.0,0.0,1.0,,0.6656775469831849
Autism,53,Autism__53__seg27,spike,medium,0,Hybrid-P,2.590828269734457,16.247522261666468,1.0,,,0.8253196205453492,0.9109792284866468,0.986281984182322,0.986281984182322,1.0,,0.9075269444047728
Autism,53,Autism__53__seg27,spike,medium,0,STRATUS-H,2.2355254427718214,16.27165418378351,1.0,,,0.8404543350677184,0.9673590504451038,0.986281984182322,0.986281984182322,1.0,,0.9313651232317148
Autism,53,Autism__53__seg27,mixed,medium,0,Pointwise-D,2.895119805979926,14.841477835865929,0.8391089108910891,0.0,1.0,0.9994719461570548,1.0,0.9706120672996912,0.9706120672996912,1.0,1.0,0.9940168026913492
Autism,53,Autism__53__seg27,mixed,medium,0,STRATUS-D,2.895119805979926,14.841477835865929,0.8391089108910891,0.0,1.0,0.9994719461570548,1.0,0.9706120672996912,0.9706120672996912,1.0,1.0,0.9940168026913492
Autism,53,Autism__53__seg27,mixed,medium,0,Hybrid-P,5.502976825187028,22.22752143861619,0.8391089108910891,0.0,1.0,0.8063016582807648,0.9163498098859316,0.9672936320429528,0.9672936320429528,1.0,1.0,0.93798902004193
Autism,53,Autism__53__seg27,mixed,medium,0,STRATUS-H,5.467227806753466,22.08367869870785,0.8391089108910891,0.0,1.0,0.7447459188535679,0.935361216730038,0.9682408249199256,0.9682408249199256,1.0,1.0,0.9296695921007064
Autism,53,Autism__53__seg27,short_gap,high,0,Pointwise-D,3.322168877339478,19.95264091219677,1.0,,1.0,0.9585608842735064,1.0,,,1.0,,0.986186961424502
