dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,52,Autism__52__seg26,short_gap,medium,3,STRATUS-H,10.2831770583519,21.116320594420937,1.0,,1.0,0.747022483582693,0.7167630057803468,,,0.948019801980198,,0.8212618297876798
Autism,52,Autism__52__seg26,long_gap,medium,3,Pointwise-D,2.0656866618034404,10.84878025772088,0.8663366336633663,0.0,,0.9023690326317088,0.9394904458598726,,,0.94,1.0,0.9472864928305272
Autism,52,Autism__52__seg26,long_gap,medium,3,STRATUS-D,1.6493406036894187,8.565638710714206,0.8663366336633663,0.0,,0.949778295118512,0.9394904458598726,,,0.94,1.0,0.9630895803261282
Autism,52,Autism__52__seg26,long_gap,medium,3,Hybrid-P,9.407027903899102,20.27288174677549,0.8663366336633663,0.0,,0.7638620615081473,0.7197452229299363,,,0.94,1.0,0.8278690948126944
Autism,52,Autism__52__seg26,long_gap,medium,3,STRATUS-H,8.656628632283262,19.642203545873212,0.8663366336633663,0.0,,0.7658581056257043,0.7515923566878981,,,0.94,1.0,0.8391501541045342
Autism,52,Autism__52__seg26,jitter,medium,3,Pointwise-D,3.194389962196596,11.900268146201611,1.0,,,0.8996153213932042,0.945945945945946,0.0,0.0,0.948019801980198,,0.6151870891130501
Autism,52,Autism__52__seg26,jitter,medium,3,STRATUS-D,2.600956248483953,9.01841591268385,1.0,,,0.9590381427015424,0.945945945945946,0.0,0.0,0.948019801980198,,0.6349946962158294
Autism,52,Autism__52__seg26,jitter,medium,3,Hybrid-P,10.465849778518564,21.1622069523258,1.0,,,0.7655781496820443,0.6966966966966966,0.2315857924381651,0.2315857924381651,0.948019801980198,,0.5646202129389687
Autism,52,Autism__52__seg26,jitter,medium,3,STRATUS-H,10.432373216509768,20.99359714816702,1.0,,,0.7528318985465482,0.7117117117117117,-0.0118789494962177,0.0,0.948019801980198,,0.4881812034194199
Autism,52,Autism__52__seg26,spike,medium,3,Pointwise-D,6.554338113869925,44.71544043544302,1.0,,,0.960669634518083,0.9518413597733713,0.5738292410309354,0.5738292410309354,0.948019801980198,,0.8287800784407965
Autism,52,Autism__52__seg26,spike,medium,3,STRATUS-D,9.439399958881124,61.28817787375903,1.0,,,0.960669634518083,0.9518413597733713,0.3407038139004069,0.3407038139004069,0.948019801980198,,0.7510716027306205
Autism,52,Autism__52__seg26,spike,medium,3,Hybrid-P,11.311526700941227,25.758133421907576,1.0,,,0.7188624903298416,0.7053824362606232,0.9739002819599426,0.9739002819599426,0.948019801980198,,0.7993817361834692
Autism,52,Autism__52__seg26,spike,medium,3,STRATUS-H,10.126923575937964,24.949847287493096,1.0,,,0.7145649541623871,0.7507082152974505,0.9739002819599426,0.9739002819599426,0.948019801980198,,0.8130578171399266
Autism,52,Autism__52__seg26,mixed,medium,3,Pointwise-D,9.297852809994671,46.53260374749138,0.8663366336633663,0.0,1.0,0.9847232148246284,0.9302325581395348,0.6810615597016578,0.6810615597016578,0.94,1.0,0.9192034665331642
Autism,52,Autism__52__seg26,mixed,medium,3,STRATUS-D,11.673275289925511,69.52464184414175,0.8663366336633663,0.0,1.0,0.8318333073677755,0.9302325581395348,0.5708766705976889,0.5708766705976889,0.94,1.0,0.8665885072209998
Autism,52,Autism__52__seg26,mixed,medium,3,Hybrid-P,12.608223099718549,30.46983211206232,0.8663366336633663,0.0,1.0,0.7254526707993745,0.7364341085271318,0.9017875497722232,0.9017875497722232,0.94,1.0,0.8727348658197458
Autism,52,Autism__52__seg26,mixed,medium,3,STRATUS-H,12.617343130989166,30.2594200197313,0.8663366336633663,0.0,1.0,0.72243787754361,0.7364341085271318,0.8874023792181014,0.8874023792181014,0.94,1.0,0.8692548730577686
Autism,52,Autism__52__seg26,short_gap,high,3,Pointwise-D,5.486652716453032,19.005806484215885,1.0,,1.0,0.903053209512384,0.9467455621301776,,,0.948019801980198,,0.9499329238808536
Autism,52,Autism__52__seg26,short_gap,high,3,STRATUS-D,4.89321900274039,17.347510591958464,1.0,,1.0,0.9604409691537492,0.9467455621301776,,,0.948019801980198,,0.9690621770946422
Autism,52,Autism__52__seg26,short_gap,high,3,Hybrid-P,12.667117061497484,25.73781861463304,1.0,,1.0,0.7674448693394245,0.7130177514792899,,,0.948019801980198,,0.8268208736062381
Autism,52,Autism__52__seg26,short_gap,high,3,STRATUS-H,12.902738472534043,25.920048233972462,1.0,,1.0,0.747022483582693,0.7189349112426036,,,0.948019801980198,,0.8219857982750988
Autism,52,Autism__52__seg26,long_gap,high,3,Pointwise-D,2.231451640837049,11.27567188577462,0.801980198019802,0.0,,0.9023690326317088,0.9340277777777778,,,0.9351851851851852,1.0,0.9454656034698288
Autism,52,Autism__52__seg26,long_gap,high,3,STRATUS-D,1.7816950965780758,8.90269037621684,0.801980198019802,0.0,,0.949778295118512,0.9340277777777778,,,0.9351851851851852,1.0,0.96126869096543
Autism,52,Autism__52__seg26,long_gap,high,3,Hybrid-P,9.783056234397222,20.852285335628984,0.801980198019802,0.0,,0.7730935146059589,0.7083333333333334,,,0.9351851851851852,1.0,0.8271422826464309
